Rank,Listing ID,Title,Brand,Price GBP,Likes,Previous Likes,Likes Gained,Likes Gained %,Previous Rank,Rank Change,New Listing,Condition,URL
69,10022373472,Nike Running Zoom Fly 4,,45.0,21,,,,,,Yes,,https://www.vinted.co.uk/items/10022373472-nike-running-zoom-fly-4
70,9956334905,Baskets On Cloud,,59.99,21,,,,,,Yes,,https://www.vinted.co.uk/items/9956334905-baskets-on-cloud
71,9282876500,Nike Therma-Sphere running jacket zip through up black dark grey Men’s L,,25.0,21,,,,,,Yes,,https://www.vinted.co.uk/items/9282876500-nike-therma-sphere-running-jacket-zip-through-up-black-dark-grey-mens-l
72,7893878487,Men’s Adidas Trainers,,22.0,21,,,,,,Yes,,https://www.vinted.co.uk/items/7893878487-mens-adidas-trainers
73,9703502400,"Nike Running Division T-shirt with Backprint, XL.",,10.0,21,,,,,,Yes,,https://www.vinted.co.uk/items/9703502400-nike-running-division-t-shirt-with-backprint-xl
74,10001015687,Brooks trance 10,,35.0,20,,,,,,Yes,,https://www.vinted.co.uk/items/10001015687-brooks-trance-10
75,10029211060,Nike Air men’s grey tshirt size Medium gym fitness running new,,12.0,20,,,,,,Yes,,https://www.vinted.co.uk/items/10029211060-nike-air-mens-grey-tshirt-size-medium-gym-fitness-running-new
76,10032827078,ASICS Metaspeed Sky Tokyo men’s running shoes in UK size 10 / EU 45 / US 11.,,49.0,20,,,,,,Yes,,https://www.vinted.co.uk/items/10032827078-asics-metaspeed-sky-tokyo-mens-running-shoes-in-uk-size-10-eu-45-us-11
77,10009722232,Twisted Running Tee & Vest,,10.0,20,,,,,,Yes,,https://www.vinted.co.uk/items/10009722232-twisted-running-tee-vest
78,9924055077,New Balance 2002R Protection Pack Black/Grey,,38.5,20,,,,,,Yes,,https://www.vinted.co.uk/items/9924055077-new-balance-2002r-protection-pack-blackgrey
79,9991685638,Adidas Originals 4DXUS Fusio - Excellent Condition- Size 8.5,,35.0,20,,,,,,Yes,,https://www.vinted.co.uk/items/9991685638-adidas-originals-4dxus-fusio-excellent-condition-size-85
80,9931430528,Nike revolution men’s trainers UK 9 black / grey / white comfort shoes running walking jogging,,34.99,20,,,,,,Yes,,https://www.vinted.co.uk/items/9931430528-nike-revolution-mens-trainers-uk-9-black-grey-white-comfort-shoes-running-walking-jogging
81,10016607015,On  Cloud size 8 trainers  grey,,22.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/10016607015-on-cloud-size-8-trainers-grey
82,10028208664,Hoka Challenger,,50.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/10028208664-hoka-challenger
83,10025945141,Nike Running Division Khaki T-Shirt,,10.5,19,,,,,,Yes,,https://www.vinted.co.uk/items/10025945141-nike-running-division-khaki-t-shirt
84,9953249877,Adidas Adizero Pro 4 - size 10,,55.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/9953249877-adidas-adizero-pro-4-size-10
85,10013715192,Men’s Nike black dri-fit running/training long sleeve shirt,,4.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/10013715192-mens-nike-black-dri-fit-runningtraining-long-sleeve-shirt
86,10026435573,New Balance FuelCell Rebel v4,,49.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/10026435573-new-balance-fuelcell-rebel-v4
87,10023568671,HOKA Gaviota Black Running Trainers Size 11 – Men’s Cushioned Sports Shoes,,20.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/10023568671-hoka-gaviota-black-running-trainers-size-11-mens-cushioned-sports-shoes
88,9899365065,Nike downshifter 12,,38.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/9899365065-nike-downshifter-12
89,9984522227,Altra Olympus 6 -UK 11,,62.0,19,,,,,,Yes,,https://www.vinted.co.uk/items/9984522227-altra-olympus-6-uk-11
90,9824679353,Nike Luna Roam PRM - size 8.5,,27.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9824679353-nike-luna-roam-prm-size-85
91,10027709433,Scarpa Spin ST trail running shoes size 9.5,,40.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/10027709433-scarpa-spin-st-trail-running-shoes-size-95
92,9999311544,Yellow ON Focus Shorts,,12.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9999311544-yellow-on-focus-shorts
93,9886825070,Saucony endorphin speed 4s London edition,,55.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9886825070-saucony-endorphin-speed-4s-london-edition
94,10001083775,Saucony Azura Running Shoes,,75.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/10001083775-saucony-azura-running-shoes
95,10007937976,Nike Running Dri-Fit Hooded Jacket – Size S,,50.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/10007937976-nike-running-dri-fit-hooded-jacket-size-s
96,9278226807,APL x Red Bull Racing shoes,,30.0,18,,,,,,Yes,,https://www.vinted.co.uk/items/9278226807-apl-x-red-bull-racing-shoes
97,10031977738,On running shoes,,22.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/10031977738-on-running-shoes
98,9990224885,ASICS Superblast 2 Men's Running Trainers Grey Coral UK 9.5,,40.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/9990224885-asics-superblast-2-mens-running-trainers-grey-coral-uk-95
99,10023572831,Adidas running windbreaker,,15.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/10023572831-adidas-running-windbreaker
100,10022882732,Grey Cloudsurfer Max - On Running,,40.0,17,,,,,,Yes,,https://www.vinted.co.uk/items/10022882732-grey-cloudsurfer-max-on-running
